DateTime,Bridge_Type,Bridge_Name,Ships_per_day,ship_present,Closure_min,vehicle_flow_veh_hr,delay_min_per_vehicle,period_of_day,rush_hour
2025-05-01 06:51,Pontoon,Taha-Zaki-Abdullah,1,YES,16,3221,0.009,Morning,NO
2025-05-02 02:21,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3092,0.0,Night,NO
2025-05-03 11:57,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3081,0.0,Morning,NO
2025-05-04 15:14,Floating,Martyr-Abul-Makarem,2,YES,35,3241,-0.002,Afternoon,NO
2025-05-05 20:01,Pontoon,Ahmed-el-Mansy,0,NO,0,3534,0.0,Rush Hour,NO
2025-05-06 02:13,Swing,El Ferdan,2,YES,48,3315,0.027,Night,NO
2025-05-07 07:13,Pontoon,Ahmed-el-Mansy,1,YES,17,3111,0.03,Morning,YES
2025-05-08 14:44,Swing,El Ferdan,1,YES,17,3529,0.024,Afternoon,NO
2025-05-09 09:38,Floating,Martyr-El-Sayed,0,NO,0,3579,0.0,Morning,NO
2025-05-10 23:36,Floating,Martyr-Abul-Makarem,1,YES,20,2969,0.028,Night,NO
2025-05-11 08:14,Floating,Martyr-El-Sayed,1,YES,17,3184,0.022,Morning,YES
2025-05-12 06:58,Floating,Martyr-Abul-Makarem,2,YES,40,3540,0.014,Morning,NO
2025-05-13 19:12,Swing,El Ferdan,1,YES,14,4133,0.005,Evening,NO
2025-05-14 23:40,Pontoon,Ahmed-el-Mansy,0,NO,0,3244,0.0,Night,NO
2025-05-15 16:36,Swing,El Ferdan,3,YES,57,3569,0.036,Afternoon,NO
2025-05-16 22:03,Floating,Martyr-Abul-Makarem,0,NO,0,3468,0.0,Night,NO
2025-05-17 04:51,Floating,Martyr-El-Sayed,1,YES,15,3080,0.037,Night,NO
2025-05-18 18:25,Floating,Martyr-Abul-Makarem,2,YES,37,3624,0.017,Evening,YES
2025-05-19 09:34,Pontoon,Ahmed-el-Mansy,2,YES,36,3304,0.026,Daytime,NO
2025-05-20 21:55,Swing,El Ferdan,1,YES,19,3035,0.022,Night,NO
2025-05-21 21:34,Pontoon,Taha-Zaki-Abdullah,0,NO,0,2957,0.0,Night,NO
2025-05-22 20:47,Pontoon,Ahmed-el-Mansy,1,YES,15,3581,0.039,Evening,NO
2025-05-23 05:37,Pontoon,Taha-Zaki-Abdullah,2,YES,36,3505,0.021,Morning,NO
2025-05-24 03:34,Swing,El Ferdan,3,YES,64,2965,0.014,Night,NO
2025-05-25 02:17,Swing,El Ferdan,1,YES,17,3440,0.007,Night,NO
2025-05-26 09:01,Floating,Martyr-El-Sayed,2,YES,41,3404,0.018,Morning,NO
2025-05-27 12:19,Swing,El Ferdan,0,NO,0,3083,0.0,Afternoon,NO
2025-05-28 18:22,Pontoon,Ahmed-el-Mansy,1,YES,14,3610,0.012,Evening,NO
2025-05-29 10:59,Pontoon,Taha-Zaki-Abdullah,2,YES,34,3263,0.012,Morning,NO
2025-05-30 19:15,Pontoon,Taha-Zaki-Abdullah,1,YES,17,3030,0.014,Evening,NO
2025-05-31 11:52,Swing,El Ferdan,1,YES,17,3533,0.03,Daytime,NO
2025-06-01 06:04,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3104,0.0,Daytime,NO
2025-06-02 13:27,Pontoon,Taha-Zaki-Abdullah,1,YES,16,3085,0.03,Afternoon,NO
2025-06-03 04:22,Floating,Martyr-El-Sayed,0,NO,0,3646,0.0,Night,NO
2025-06-04 09:57,Floating,Martyr-Abul-Makarem,1,YES,18,3309,0.012,Morning,NO
2025-06-05 19:23,Pontoon,Ahmed-el-Mansy,3,YES,49,3187,0.014,Evening,NO
2025-06-06 01:50,Swing,El Ferdan,2,YES,37,3226,0.035,Night,NO
2025-06-07 02:48,Floating,Martyr-Abul-Makarem,0,NO,0,3633,0.0,Night,NO
2025-06-08 23:22,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3593,0.0,Night,NO
2025-06-09 02:40,Swing,El Ferdan,2,YES,33,3126,0.029,Night,NO
2025-06-10 19:18,Floating,Martyr-El-Sayed,0,NO,0,3877,0.0,Evening,NO
2025-06-11 20:35,Pontoon,Taha-Zaki-Abdullah,0,NO,0,3438,0.0,Evening,NO
2025-06-12 06:13,Floating,Martyr-El-Sayed,1,YES,18,3373,0.012,Morning,NO
2025-06-13 06:45,Pontoon,Taha-Zaki-Abdullah,1,YES,14,2775,0.022,Daytime,NO
2025-06-14 21:51,Swing,El Ferdan,0,NO,0,3658,0.0,Night,NO
2025-06-15 11:53,Floating,Martyr-Abul-Makarem,1,YES,14,3683,-0.003,Daytime,NO
2025-06-16 08:38,Swing,El Ferdan,2,YES,31,3592,0.017,Morning,YES
2025-06-17 20:10,Pontoon,Ahmed-el-Mansy,0,NO,0,3392,0.0,Evening,NO
2025-06-18 08:48,Swing,El Ferdan,3,YES,52,3485,-0.004,Morning,YES
2025-06-19 08:35,Floating,Martyr-Abul-Makarem,2,YES,41,3472,0.032,Daytime,YES
2025-06-20 12:04,Swing,El Ferdan,3,YES,63,3315,0.013,Afternoon,NO
2025-06-21 04:37,Floating,Martyr-Abul-Makarem,3,YES,52,3568,0.032,Night,NO
2025-06-22 07:38,Floating,Martyr-El-Sayed,1,YES,17,3081,0.045,Morning,YES
2025-06-23 10:50,Pontoon,Ahmed-el-Mansy,1,YES,19,3325,0.013,Morning,NO
2025-06-24 14:59,Floating,Martyr-El-Sayed,0,NO,0,3233,0.0,Afternoon,NO
2025-06-25 01:05,Pontoon,Taha-Zaki-Abdullah,1,YES,16,2597,0.043,Night,NO
2025-06-26 10:53,Pontoon,Ahmed-el-Mansy,1,YES,15,2954,0.025,Morning,NO
2025-06-27 04:17,Pontoon,Ahmed-el-Mansy,1,YES,18,3485,0.014,Night,NO
2025-06-28 12:26,Swing,El Ferdan,2,YES,34,3260,0.018,Afternoon,NO
2025-06-29 22:13,Floating,Martyr-El-Sayed,1,YES,21,2953,0.051,Night,NO
2025-06-30 12:17,Floating,Martyr-El-Sayed,1,YES,19,3103,0.031,Afternoon,NO
2025-07-01 21:25,Pontoon,Ahmed-el-Mansy,0,NO,0,3145,0.0,Night,NO
2025-07-02 09:02,Swing,El Ferdan,1,YES,25,3554,0.006,Morning,NO
2025-07-03 05:51,Floating,Martyr-El-Sayed,1,YES,12,3243,0.016,Daytime,NO
